redshift,Volume_phys,Area_phys,Genus,IMC_phys,L_phys,B_phys,T_phys,P,F
12.603,33001232.953967597,12731001.822497224,233821.439155,248597.65215500002,19782.77259,51.21127166666546,7.776583333333333,0.7363327304126082,0.9948360075289119
12.603,116.6841527777778,143.9946638888889,24.648928,46.43898666666667,3.6954966666666667,3.1007283333333335,2.43101,0.12106833204631577,0.08751451479804348
12.603,125.07761111111112,171.3651388888889,31.455866,57.83170833333333,4.602101666666667,2.96317,2.1896683333333335,0.15011176688058325,0.21663883848189638
12.603,2001.9363750000005,1162.1257861111112,86.064433,152.44888333333333,12.131496666666667,7.623051666666667,5.167951666666667,0.19193959504349545,0.22822313747323503
12.603,156.57628703703708,192.94500555555555,33.675007,63.025850000000005,5.015438333333333,3.061363333333334,2.4345216666666665,0.11405654715603897,0.24193673196960586
12.603,2330.9823611111115,1637.4238222222225,121.381007,207.87820666666667,16.542421666666666,7.876841666666665,4.2707,0.2968618479047543,0.3548665609486719
12.603,162.8089675925926,188.95592777777782,29.370078,54.758655000000005,4.3575550000000005,3.4507050000000006,2.584871666666667,0.14345494741458018,0.11613983140930241
12.603,83.59955555555558,130.94453055555556,26.198484,50.20104833333334,3.994871666666667,2.608401666666666,1.9153050000000003,0.15321432571519508,0.20996707693457095
12.603,113.55502314814818,163.0477166666667,30.444299,57.720576666666666,4.593258333333334,2.824776666666667,2.089358333333333,0.14965366912657746,0.2384029822812465
12.603,155.83036111111113,196.88963333333336,33.040437,62.167053333333335,4.947096666666667,3.167105000000001,2.374381666666667,0.14305246606506336,0.21936744239164196
12.603,189.70375462962966,219.16436388888891,33.741691,62.84184,5.000795,3.4875549999999995,2.596733333333334,0.1464134534496364,0.17827257358615053
12.603,105.13588425925929,146.5161416666667,26.770369,50.750485000000005,4.038595,2.8869900000000004,2.152716666666667,0.14569763319558285,0.1662827039159868
12.603,196.5881990740741,229.76306944444445,34.833194,64.68119333333333,5.147166666666666,3.5522399999999994,2.5668383333333336,0.16103759634825165,0.1833374076852752
12.603,3508.356574074075,2384.2733694444446,173.352825,301.0623616666667,23.95778166666667,7.919533333333332,4.414371666666667,0.2841891247473257,0.5031241913985961
12.603,106.61918981481483,160.24143333333333,31.604835,58.94480166666667,4.6906783333333335,2.7184999999999997,1.9960983333333335,0.15322655623897255,0.2661804379118063
12.603,191.109962962963,249.00571944444448,42.503323,78.24632666666666,6.226645,3.182331666666668,2.3024766666666667,0.1604167268075307,0.3235541378392902
12.603,89.0264027777778,115.47227222222223,21.234479,41.20659166666667,3.279116666666667,2.8022766666666667,2.31293,0.09566508228406538,0.07840966269791247
12.603,118.17603703703706,163.26264444444448,29.275865,55.742803333333335,4.435871666666666,2.928856666666667,2.17152,0.14848641897689907,0.20462601358683288
12.603,88.98362962962965,128.06625277777778,25.26148,48.416760000000004,3.852883333333333,2.645081666666667,2.0844750000000003,0.11853260383108498,0.18587383383361808
12.603,188.0749305555556,239.91364166666668,40.508195,75.35957166666668,5.996925000000001,3.1835849999999994,2.3517833333333336,0.15027033732473674,0.3064470274527234
12.603,91.28986111111114,133.738075,25.891912,49.52626,3.941175,2.700346666666667,2.047805,0.1374306703906889,0.18682892198650253
12.603,204.3384444444445,214.60941111111114,31.40233,59.829735,4.761098333333334,3.5870033333333335,2.8564233333333333,0.11338376888487905,0.14064215397472601
12.603,88.27192592592594,105.59843888888891,20.505107,38.48833833333333,3.062805,2.743648333333333,2.5077616666666667,0.04491872976337142,0.05496585408419146
12.603,120.4223703703704,177.0196138888889,33.197539,63.151201666666665,5.025413333333334,2.8031083333333324,2.0408316666666666,0.15736707446142312,0.2838728810654546
12.603,84.35403240740743,130.93179166666667,26.704529,50.750485000000005,4.038595,2.579911666666666,1.9327783333333335,0.1434030109166224,0.22039463081299315
12.603,171.95693518518524,205.73229444444448,33.995822,64.00999833333334,5.093753333333334,3.214064999999999,2.507485,0.12349450760720417,0.22625534862642457
12.603,150.42912500000003,197.53574722222226,33.602218,62.64720500000001,4.985306666666667,3.153145000000001,2.2845866666666668,0.15972806062822165,0.2251241073496575
12.603,92.01014351851853,147.34345555555558,29.655945,57.48050166666667,4.574153333333334,2.563363333333334,1.8733816666666667,0.15551528579322615,0.28172123357563666
12.603,124.41732870370373,134.6787138888889,23.362096,43.174888333333335,3.4357483333333336,3.1193766666666667,2.7714250000000002,0.05906694646257825,0.04826325457816087
12.603,142.6960740740741,193.8356388888889,35.507517,65.78366000000001,5.234896666666667,2.946561666666666,2.208511666666667,0.14316964129834542,0.2796976904076801
12.603,104.38137500000002,135.52944444444447,24.987056,47.86732333333333,3.8091600000000003,2.831356666666667,2.310525,0.10129203673493078,0.1472480805961383
12.603,110.48569907407409,153.80432222222225,28.307562,54.083866666666665,4.303856666666667,2.843811666666667,2.155056666666667,0.13778218470113737,0.2042687114049547
12.603,3707.9012962962975,2311.484316666667,151.619455,253.72523333333334,20.190813333333335,9.110186666666669,4.812363333333333,0.30869512649143543,0.3781654778562733
12.603,505.03283333333343,456.24021388888895,53.691598,99.710785,7.934731666666667,4.575635,3.320835,0.15890644807110013,0.2685050531425937
12.603,86.67736111111113,124.88823333333335,24.261034,46.43898666666667,3.6954966666666667,2.689296666666667,2.0821183333333333,0.1272533060598027,0.1575931980048427
12.603,175.0433564814815,213.08745833333336,35.625129,66.224255,5.269958333333333,3.217665,2.4643883333333334,0.13257120665299402,0.24179835187471008
12.603,155.77887962962967,208.6651138888889,32.643287,59.309215,4.7196766666666665,3.5182583333333346,2.2396483333333332,0.2220616057224502,0.14583974422392648
