redshift,FF
10.11,0.9998980676880743
10.29,0.9998913845253334
10.478,0.9998817521680003
10.673,0.9998663992204078
10.877,0.9998292474900374
11.09,0.9996486084933706
11.313,0.9988574492403336
11.546,0.9957339597371854
11.791,0.985426695232778
12.048,0.9579350100113333
12.318,0.8966630828678521
12.603,0.7888849387771113
12.903,0.6377297901511482
13.221,0.4646224468745186
13.557,0.3055617206336667
13.914,0.18137731127007412
14.294,0.09889916226270373
14.699,0.049195130631407416
15.132,0.022204019132148155
15.596,0.008958057032185187
16.095,0.0028324382051851857
16.633,0.0008362803313703706
17.215,0.00020211500266666672
17.848,3.864315481481482e-05
18.54,6.436597407407409e-06
19.298,1.6801619259259265e-06
